14:59:59.303 [main] INFO  resources.WriteExcel - Adding value 1:38to (row, col) : (12, 3)
14:59:59.307 [main] INFO  resources.WriteExcel - Adding value *Interview Question: How does your Listener know what exact test case passed or failed execution? Answer: Using the ITestResult object that is accepted by the methods implemented by the Listener class.to (row, col) : (12, 4)
14:59:59.316 [main] INFO  oodaymy.VishayPage - Comments count found: 39
14:59:59.477 [main] INFO  resources.WriteExcel - Sheet name: Selenium
14:59:59.477 [main] INFO  resources.WriteExcel - Current new row: 13
14:59:59.477 [main] INFO  resources.WriteExcel - Adding value 13to (row, col) : (13, 0)
14:59:59.478 [main] INFO  resources.WriteExcel - Adding value 18. Framework Part -2 -Global Environmental variables Setup& Reusable Componentsto (row, col) : (13, 1)
14:59:59.478 [main] INFO  resources.WriteExcel - Adding value 146. How to write Global parameters with java codeto (row, col) : (13, 2)
14:59:59.479 [main] INFO  resources.WriteExcel - Adding value 11:28to (row, col) : (13, 3)
14:59:59.479 [main] INFO  resources.WriteExcel - Adding value *Information: Get / set property code.to (row, col) : (13, 4)
14:59:59.488 [main] INFO  oodaymy.VishayPage - Comments count found: 39
14:59:59.658 [main] INFO  resources.WriteExcel - Sheet name: Selenium
14:59:59.658 [main] INFO  resources.WriteExcel - Current new row: 14
14:59:59.658 [main] INFO  resources.WriteExcel - Adding value 14to (row, col) : (14, 0)
14:59:59.659 [main] INFO  resources.WriteExcel - Adding value 18. Framework Part -2 -Global Environmental variables Setup& Reusable Componentsto (row, col) : (14, 1)
14:59:59.659 [main] INFO  resources.WriteExcel - Adding value 146. How to write Global parameters with java codeto (row, col) : (14, 2)
14:59:59.660 [main] INFO  resources.WriteExcel - Adding value 2:22to (row, col) : (14, 3)
14:59:59.661 [main] INFO  resources.WriteExcel - Adding value *Information: Getting / setting global parameters for your framework from a ".properties" files using Java.to (row, col) : (14, 4)
14:59:59.671 [main] INFO  oodaymy.VishayPage - Comments count found: 39
14:59:59.796 [main] INFO  resources.WriteExcel - Sheet name: Selenium
14:59:59.796 [main] INFO  resources.WriteExcel - Current new row: 15
14:59:59.797 [main] INFO  resources.WriteExcel - Adding value 15to (row, col) : (15, 0)
14:59:59.798 [main] INFO  resources.WriteExcel - Adding value 19. Framework Part -3- Maven- Build Management toolto (row, col) : (15, 1)
14:59:59.799 [main] INFO  resources.WriteExcel - Adding value 148. Importance of Maven in Framework developmentto (row, col) : (15, 2)
14:59:59.801 [main] INFO  resources.WriteExcel - Adding value 0:43to (row, col) : (15, 3)
14:59:59.802 [main] INFO  resources.WriteExcel - Adding value *Interview Question: What is Maven and why is it required? Answer: 1) Build management tool that serves as a central repository to get dependencies, 2) Helps maintain common project structure across projects in your organization, 3) Provides flexibility in integrating with CI tools like Jenkins, 4) Provides plugins for test framework execution using external parameters e.g. browser selection, test selection, profile selection etc.to (row, col) : (15, 4)
14:59:59.818 [main] INFO  oodaymy.VishayPage - Comments count found: 39
14:59:59.948 [main] INFO  resources.WriteExcel - Sheet name: Selenium
14:59:59.948 [main] INFO  resources.WriteExcel - Current new row: 16
14:59:59.949 [main] INFO  resources.WriteExcel - Adding value 16to (row, col) : (16, 0)
14:59:59.950 [main] INFO  resources.WriteExcel - Adding value 19. Framework Part -3- Maven- Build Management toolto (row, col) : (16, 1)
14:59:59.951 [main] INFO  resources.WriteExcel - Adding value 150. Creating Maven Project and Understanding its Terminologiesto (row, col) : (16, 2)
14:59:59.951 [main] INFO  resources.WriteExcel - Adding value 1:36to (row, col) : (16, 3)
14:59:59.952 [main] INFO  resources.WriteExcel - Adding value *Marker: Maven Group Id & Artifact Idto (row, col) : (16, 4)
14:59:59.976 [main] INFO  oodaymy.VishayPage - Comments count found: 39
15:00:00.099 [main] INFO  resources.WriteExcel - Sheet name: Selenium
15:00:00.099 [main] INFO  resources.WriteExcel - Current new row: 17
15:00:00.099 [main] INFO  resources.WriteExcel - Adding value 17to (row, col) : (17, 0)
15:00:00.100 [main] INFO  resources.WriteExcel - Adding value 19. Framework Part -3- Maven- Build Management toolto (row, col) : (17, 1)
15:00:00.101 [main] INFO  resources.WriteExcel - Adding value 151. Understanding POM.xml file and its dependenciesto (row, col) : (17, 2)
15:00:00.102 [main] INFO  resources.WriteExcel - Adding value 11:23to (row, col) : (17, 3)
15:00:00.103 [main] INFO  resources.WriteExcel - Adding value *Interview Question: How can you use Maven to execute tests under "src/test/java/" path in your Maven project? Answer: Using Surefire plugin.to (row, col) : (17, 4)
15:00:00.113 [main] INFO  oodaymy.VishayPage - Comments count found: 39
