15:00:01.012 [main] INFO  resources.WriteExcel - Sheet name: Selenium
15:00:01.014 [main] INFO  resources.WriteExcel - Current new row: 23
15:00:01.014 [main] INFO  resources.WriteExcel - Adding value 23to (row, col) : (23, 0)
15:00:01.015 [main] INFO  resources.WriteExcel - Adding value 20. Framework Part -4- Jenkins- Continuous Integration Toolto (row, col) : (23, 1)
15:00:01.016 [main] INFO  resources.WriteExcel - Adding value 157. Install and configure Jenkinsto (row, col) : (23, 2)
15:00:01.017 [main] INFO  resources.WriteExcel - Adding value 9:22to (row, col) : (23, 3)
15:00:01.017 [main] INFO  resources.WriteExcel - Adding value *Information: Jenkins > Manage Jenkins > Global Tool Configuration > Update JDK and Maven (and GIT) Name and Home Pathsto (row, col) : (23, 4)
15:00:01.033 [main] INFO  oodaymy.VishayPage - Comments count found: 39
15:00:01.167 [main] INFO  resources.WriteExcel - Sheet name: Selenium
15:00:01.167 [main] INFO  resources.WriteExcel - Current new row: 24
15:00:01.168 [main] INFO  resources.WriteExcel - Adding value 24to (row, col) : (24, 0)
15:00:01.170 [main] INFO  resources.WriteExcel - Adding value 20. Framework Part -4- Jenkins- Continuous Integration Toolto (row, col) : (24, 1)
15:00:01.170 [main] INFO  resources.WriteExcel - Adding value 157. Install and configure Jenkinsto (row, col) : (24, 2)
15:00:01.171 [main] INFO  resources.WriteExcel - Adding value 3:35to (row, col) : (24, 3)
15:00:01.172 [main] INFO  resources.WriteExcel - Adding value *Information: Download jenkins .war file from Jenkins website and run the following command to start Jenkins on some port (use 9090 if 8080 is already in use by some other components):
java -jar jenkins.war -httpPort=8080
URL once Jenkins is started: http://localhost:8080to (row, col) : (24, 4)
15:00:01.184 [main] INFO  oodaymy.VishayPage - Comments count found: 39
15:00:01.316 [main] INFO  resources.WriteExcel - Sheet name: Selenium
15:00:01.316 [main] INFO  resources.WriteExcel - Current new row: 25
15:00:01.316 [main] INFO  resources.WriteExcel - Adding value 25to (row, col) : (25, 0)
15:00:01.317 [main] INFO  resources.WriteExcel - Adding value 21. Framework Part -5 - TestNG Reports for Jenkin Jobsto (row, col) : (25, 1)
15:00:01.317 [main] INFO  resources.WriteExcel - Adding value 159. Testng Reporting Plugin into Jenkin jobsto (row, col) : (25, 2)
15:00:01.318 [main] INFO  resources.WriteExcel - Adding value 6:03to (row, col) : (25, 3)
15:00:01.319 [main] INFO  resources.WriteExcel - Adding value *Information: Add "Publish TestNG Results" to Post Build Actions.to (row, col) : (25, 4)
15:00:01.329 [main] INFO  oodaymy.VishayPage - Comments count found: 39
15:00:01.521 [main] INFO  resources.WriteExcel - Sheet name: Selenium
15:00:01.522 [main] INFO  resources.WriteExcel - Current new row: 26
15:00:01.522 [main] INFO  resources.WriteExcel - Adding value 26to (row, col) : (26, 0)
15:00:01.523 [main] INFO  resources.WriteExcel - Adding value 21. Framework Part -5 - TestNG Reports for Jenkin Jobsto (row, col) : (26, 1)
15:00:01.524 [main] INFO  resources.WriteExcel - Adding value 159. Testng Reporting Plugin into Jenkin jobsto (row, col) : (26, 2)
15:00:01.524 [main] INFO  resources.WriteExcel - Adding value 2:27to (row, col) : (26, 3)
15:00:01.525 [main] INFO  resources.WriteExcel - Adding value *Information: Add TestNG plugins in Jenkins for TestNG to create an HTML report out of the Surefire XML report file in your project (Your project > target > surefire-reports > testng-results.xml).to (row, col) : (26, 4)
15:00:01.533 [main] INFO  oodaymy.VishayPage - Comments count found: 39
15:00:01.648 [main] INFO  resources.WriteExcel - Sheet name: Selenium
15:00:01.648 [main] INFO  resources.WriteExcel - Current new row: 27
15:00:01.648 [main] INFO  resources.WriteExcel - Adding value 27to (row, col) : (27, 0)
15:00:01.649 [main] INFO  resources.WriteExcel - Adding value 22. Extent Reporting Basics for Test Execution results in Frameworkto (row, col) : (27, 1)
15:00:01.650 [main] INFO  resources.WriteExcel - Adding value 161. What are extent Reports and its basic configurationto (row, col) : (27, 2)
15:00:01.650 [main] INFO  resources.WriteExcel - Adding value 11:16to (row, col) : (27, 3)
15:00:01.651 [main] INFO  resources.WriteExcel - Adding value *Marker: Extent Reporting Classes - ExtentReports and ExtentSparkReporterto (row, col) : (27, 4)
15:00:01.670 [main] INFO  oodaymy.VishayPage - Comments count found: 39
15:00:01.767 [main] INFO  resources.WriteExcel - Sheet name: Selenium
15:00:01.768 [main] INFO  resources.WriteExcel - Current new row: 28
15:00:01.768 [main] INFO  resources.WriteExcel - Adding value 28to (row, col) : (28, 0)
15:00:01.768 [main] INFO  resources.WriteExcel - Adding value 23. Framework Part 6-Excel Data Driven Testing Utilitiesto (row, col) : (28, 1)
15:00:01.769 [main] INFO  resources.WriteExcel - Adding value 170. Practise Exercise- Excel Driven testing -3to (row, col) : (28, 2)
15:00:01.770 [main] INFO  resources.WriteExcel - Adding value 7:18to (row, col) : (28, 3)
