<<<<<<< HEAD
20:06:30.486 [main] INFO  resources.TestBase - _20220624_080630_484
22:17:10.822 [main] INFO  testCases.AssertTitleAndNavigationPaneTest - Driver is initialized
22:17:18.811 [main] INFO  testCases.AssertTitleAndNavigationPaneTest - URL opened
22:17:18.896 [main] INFO  testCases.AssertTitleAndNavigationPaneTest - LandingPage - Object created
22:17:24.115 [main] INFO  testCases.AssertTitleAndNavigationPaneTest - Driver closed
22:18:53.756 [main] INFO  testCases.AssertTitleAndNavigationPaneTest - Driver is initialized
22:19:01.050 [main] INFO  testCases.AssertTitleAndNavigationPaneTest - URL opened
22:19:01.101 [main] INFO  testCases.AssertTitleAndNavigationPaneTest - LandingPage - Object created
22:19:06.361 [main] INFO  testCases.AssertTitleAndNavigationPaneTest - Driver closed
22:19:23.851 [main] INFO  resources.TestBase - _20220624_101923_849
22:19:29.680 [TestNG-tests-1] INFO  testCases.HomePageAndLoginTest - Driver is initialized
22:19:29.740 [TestNG-tests-2] INFO  testCases.AssertTitleAndNavigationPaneTest - Driver is initialized
22:19:39.647 [TestNG-tests-2] INFO  testCases.AssertTitleAndNavigationPaneTest - URL opened
22:19:39.695 [TestNG-tests-2] INFO  testCases.AssertTitleAndNavigationPaneTest - LandingPage - Object created
22:19:40.450 [TestNG-tests-2] INFO  resources.TestBase - _20220624_101940_450
22:19:41.710 [TestNG-tests-1] INFO  testCases.HomePageAndLoginTest - URL opened
22:19:41.711 [TestNG-tests-1] INFO  testCases.HomePageAndLoginTest - LandingPage - Object created
22:19:45.667 [TestNG-tests-2] INFO  testCases.AssertTitleAndNavigationPaneTest - Driver closed
22:19:47.204 [TestNG-tests-1] INFO  resources.TestBase - _20220624_101947_204
22:19:49.541 [TestNG-tests-1] INFO  testCases.HomePageAndLoginTest - URL opened
22:19:49.542 [TestNG-tests-1] INFO  testCases.HomePageAndLoginTest - LandingPage - Object created
22:19:51.162 [TestNG-tests-1] INFO  resources.TestBase - _20220624_101951_162
22:19:53.343 [TestNG-tests-1] INFO  testCases.HomePageAndLoginTest - Driver closed
=======
22:24:32.443 [main] INFO  testCases.AssertTitleAndNavigationPaneTest - Driver is initialized
22:24:39.748 [main] INFO  testCases.AssertTitleAndNavigationPaneTest - URL opened
22:24:39.828 [main] INFO  testCases.AssertTitleAndNavigationPaneTest - LandingPage - Object created
22:24:45.127 [main] INFO  testCases.AssertTitleAndNavigationPaneTest - Driver closed
22:25:28.379 [main] INFO  commentsProject.Oodaymy - Driver is initialized
22:25:30.537 [main] INFO  commentsProject.Oodaymy - Driver closed
22:27:44.019 [main] INFO  commentsProject.Oodaymy - Driver is initialized
22:27:46.566 [main] INFO  commentsProject.Oodaymy - URL opened
22:27:46.611 [main] INFO  commentsProject.Oodaymy - Courses - Object created
22:27:55.883 [main] INFO  commentsProject.Oodaymy - Driver closed
>>>>>>> develop
